,ERSSTv5
1923-10-31,0.35836083
1923-11-30,0.43295202
1923-12-31,0.45971608
1924-01-31,0.4038126
1924-02-29,0.1138242
1924-03-31,0.0602188
1924-04-30,-0.31682152
1924-05-31,-0.54064363
1924-06-30,-1.0414019
1924-07-31,-1.4193337
1924-08-31,-1.5519886
1924-09-30,-1.8297304
1924-10-31,-1.9113792
1924-11-30,-1.980863
1924-12-31,-1.9755596
1925-01-31,-1.8575252
1925-02-28,-1.8161252
1925-03-31,-0.82406443
1925-04-30,-0.7215521
1925-05-31,-0.7030501
1925-06-30,-0.68900967
1925-07-31,-0.284422
1925-08-31,-0.04845252
1925-09-30,0.031552587
1925-10-31,0.42642808
1925-11-30,0.87512034
1925-12-31,1.1034472
1926-01-31,1.1429474
1926-02-28,0.7571703
1926-03-31,0.907125
1926-04-30,0.6760758
1926-05-31,0.2971335
1926-06-30,0.015155691
1926-07-31,-0.21903315
1926-08-31,-0.55080277
1926-09-30,-1.0261481
1926-10-31,-1.4732296
1926-11-30,-1.3645728
1926-12-31,-1.0591329
1927-01-31,-0.9278142
1927-02-28,-0.77924615
1927-03-31,-0.7527039
1927-04-30,-0.9931086
1927-05-31,-0.8912547
1927-06-30,-0.550939
1927-07-31,-0.6130637
1927-08-31,-0.620648
1927-09-30,-0.37109137
1927-10-31,-0.09327765
1927-11-30,-0.31457406
1927-12-31,-0.32266736
1928-01-31,-0.09055205
1928-02-29,-0.28864256
1928-03-31,-0.50031453
1928-04-30,-0.5212966
1928-05-31,-0.44325113
1928-06-30,-0.64020365
1928-07-31,-0.35711014
1928-08-31,-0.43250865
1928-09-30,-0.6226293
1928-10-31,-0.74025565
1928-11-30,-0.6460706
1928-12-31,-0.56998324
1929-01-31,-0.8382214
1929-02-28,-0.9243393
1929-03-31,-0.6899762
1929-04-30,-0.70551807
1929-05-31,-0.64072764
1929-06-30,-0.522069
1929-07-31,-0.39031464
1929-08-31,-0.45723
1929-09-30,-0.35396656
1929-10-31,-0.30008125
1929-11-30,-0.23989113
1929-12-31,-0.09413665
1930-01-31,0.072307706
1930-02-28,0.10715182
1930-03-31,-0.019302618
1930-04-30,-0.053912133
1930-05-31,-0.01540334
1930-06-30,0.41459456
1930-07-31,0.33802855
1930-08-31,0.362377
1930-09-30,0.6052097
1930-10-31,0.9402448
1930-11-30,1.0611722
1930-12-31,1.0097429
1931-01-31,1.0150354
1931-02-28,0.90238476
1931-03-31,0.44331756
1931-04-30,0.371455
1931-05-31,0.26872972
1931-06-30,0.031839542
1931-07-31,-0.115307614
1931-08-31,-0.4220532
1931-09-30,-1.1195172
1931-10-31,-1.376303
1931-11-30,-1.2330322
1931-12-31,-1.1245894
1932-01-31,-1.1144311
1932-02-29,-0.84929836
1932-03-31,-0.38480234
1932-04-30,-0.1255647
1932-05-31,-0.05793137
1932-06-30,-0.12633753
1932-07-31,-0.2295249
1932-08-31,-0.5644352
1932-09-30,-0.8059066
1932-10-31,-0.717379
1932-11-30,-0.6696026
1932-12-31,-0.9151002
1933-01-31,-0.9505598
1933-02-28,-1.0646727
1933-03-31,-0.9932145
1933-04-30,-0.91511333
1933-05-31,-1.0301958
1933-06-30,-1.3313007
1933-07-31,-1.5490897
1933-08-31,-1.763236
1933-09-30,-1.8350925
1933-10-31,-2.009744
1933-11-30,-2.0524867
1933-12-31,-1.9566991
1934-01-31,-1.5861374
1934-02-28,-1.2953818
1934-03-31,-1.2997136
1934-04-30,-1.1197364
1934-05-31,-0.7150637
1934-06-30,-0.45244694
1934-07-31,-0.39891845
1934-08-31,-0.5385937
1934-09-30,-0.9468392
1934-10-31,-0.7120315
1934-11-30,-0.6860674
1934-12-31,-0.66168606
1935-01-31,-0.77702093
1935-02-28,-0.7405721
1935-03-31,-0.69290626
1935-04-30,-0.9406533
1935-05-31,-0.79685414
1935-06-30,-0.6711704
1935-07-31,-0.58589077
1935-08-31,-0.48517495
1935-09-30,-0.42262077
1935-10-31,-0.3595131
1935-11-30,-0.47949466
1935-12-31,-0.61642635
1936-01-31,-0.66470015
1936-02-29,-0.58974004
1936-03-31,-0.6333504
1936-04-30,-0.39119345
1936-05-31,-0.42963618
1936-06-30,-0.5477842
1936-07-31,-0.72244406
1936-08-31,-0.67693484
1936-09-30,-0.61190426
1936-10-31,-0.6825604
1936-11-30,-0.8772484
1936-12-31,-0.98015434
1937-01-31,-1.0833917
1937-02-28,-0.623789
1937-03-31,-0.4976089
1937-04-30,-0.6809944
1937-05-31,-0.6064699
1937-06-30,-0.41464758
1937-07-31,-0.521505
1937-08-31,-0.32575497
1937-09-30,-0.2957492
1937-10-31,-0.32276934
1937-11-30,-0.4309326
1937-12-31,-0.6381796
1938-01-31,-1.1342798
1938-02-28,-1.3392802
1938-03-31,-1.1431677
1938-04-30,-1.3350496
1938-05-31,-1.2069229
1938-06-30,-1.6638546
1938-07-31,-2.104176
1938-08-31,-2.1062732
1938-09-30,-1.6441462
